ID рассылки;ID компании;Страница
27364;11698086;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=140518_11698086
27364;11717484;(пусто)
27364;11717907;(пусто)
27364;11721292;(пусто)
27364;11727668;(пусто)
27364;11740184;(пусто)
27364;11829673;(пусто)
27364;11835356;(пусто)
27364;11844608;(пусто)
27364;11845730;(пусто)
27364;13005153;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=219944_13005153
27364;13023473;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=998583_13023473
27364;13026662;(пусто)
27364;13078534;(пусто)
27364;13116007;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=208234_13116007
27364;91001092;(пусто)
27364;91001742;(пусто)
27364;91010881;(пусто)
27364;91017243;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=20255_91017243
27364;91020424;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=3716916_91020424
27364;91029344;(пусто)
27364;91035512;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=13619977_91035512
27364;91063612;(пусто)
27364;91077375;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=152063_91077375
27364;91079625;(пусто)
27364;91081515;(пусто)
27364;91082715;(пусто)
27364;91083405;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=6413608_91083405
27364;91086992;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=131101_91086992
27364;91098535;(пусто)
